Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
562,314,26,222,2020-04-20 00:24:00,2020-04-20,0
562,314,26,222,2020-04-19 16:30:00,2020-04-19,23
539,283,26,230,2020-04-18 15:07:00,2020-04-18,0
539,283,26,230,2020-04-17 22:01:00,2020-04-17,21
518,277,26,215,2020-04-16 21:38:00,2020-04-16,24
494,251,25,218,2020-04-15 20:35:00,2020-04-15,19
475,248,24,203,2020-04-14 23:37:00,2020-04-14,8
467,232,23,212,2020-04-13 21:50:00,2020-04-13,34
433,197,23,213,2020-04-12 21:08:00,2020-04-12,0
433,197,23,213,2020-04-11 07:00:00,2020-04-11,17
416,182,23,211,2020-04-10 22:00:00,2020-04-10,7
409,165,23,221,2020-04-09 22:00:00,2020-04-09,9
400,154,22,224,2020-04-08 23:00:00,2020-04-08,17
383,131,22,230,2020-04-07 23:00:00,2020-04-07,6
377,116,21,240,2020-04-06 23:00:00,2020-04-06,16
361,104,20,237,2020-04-05 23:00:00,2020-04-05,28
333,99,20,214,2020-04-04 23:50:00,2020-04-04,29
304,89,17,198,2020-04-03 23:30:00,2020-04-03,27
277,76,16,185,2020-04-02 23:30:00,2020-04-02,18
259,67,15,177,2020-04-01 23:00:00,2020-04-01,16
243,52,15,176,2020-03-31 23:30:00,2020-03-31,20
223,44,11,168,2020-03-30 22:30:00,2020-03-30,11
212,33,10,169,2020-03-29 23:10:00,2020-03-29,15
197,31,10,156,2020-03-28 23:30:00,2020-03-28,11
186,31,8,147,2020-03-27 23:30:00,2020-03-27,12
174,17,6,151,2020-03-26 22:40:00,2020-03-26,28
146,17,5,124,2020-03-25 22:00:00,2020-03-25,23
123,10,5,108,2020-03-24 22:30:00,2020-03-24,19
104,2,4,98,2020-03-23 23:40:00,2020-03-23,15
89,2,2,85,2020-03-22 22:30:00,2020-03-22,13
76,2,2,72,2020-03-21 23:30:00,2020-03-21,6
70,2,2,66,2020-03-20 22:45:00,2020-03-20,6
64,0,2,62,2020-03-19 23:30:00,2020-03-19,5
59,0,2,57,2020-03-18 23:30:00,2020-03-18,4
55,0,1,54,2020-03-17 22:30:00,2020-03-17,4
51,0,1,50,2020-03-16 22:00:00,2020-03-16,9
42,0,1,41,2020-03-15 23:30:00,2020-03-15,4
38,0,1,37,2020-03-14 22:30:00,2020-03-14,5
33,0,1,32,2020-03-13 22:00:00,2020-03-13,10
23,0,1,22,2020-03-12 22:00:00,2020-03-12,8
15,0,1,14,2020-03-11 22:30:00,2020-03-11,5
10,0,0,10,2020-03-10 23:00:00,2020-03-10,4
6,0,0,6,2020-03-09 22:30:00,2020-03-09,4
2,0,0,2,2020-03-08 22:00:00,2020-03-08,2
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
