Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
695,81,35,579,2020-04-14 11:44:00,,2020-04-14,10
685,71,32,582,2020-04-13 21:50:00,,2020-04-13,16
669,68,29,572,2020-04-12 21:08:00,,2020-04-12,21
648,62,26,560,2020-04-11 07:00:00,,2020-04-11,13
635,54,25,556,2020-04-10 22:00:00,,2020-04-10,17
618,48,24,546,2020-04-09 22:00:00,,2020-04-09,25
593,42,24,527,2020-04-08 23:00:00,,2020-04-08,16
577,42,23,512,2020-04-07 23:00:00,,2020-04-07,28
549,39,22,488,2020-04-06 23:00:00,,2020-04-06,18
531,37,20,474,2020-04-05 23:00:00,,2020-04-05,28
503,34,17,452,2020-04-04 23:50:00,,2020-04-04,18
485,30,14,441,2020-04-03 23:30:00,,2020-04-03,28
457,25,10,422,2020-04-02 23:30:00,,2020-04-02,35
422,20,10,392,2020-04-01 23:00:00,,2020-04-01,23
399,17,8,374,2020-03-31 23:30:00,,2020-03-31,40
359,17,8,334,2020-03-30 22:30:00,,2020-03-30,13
346,14,8,324,2020-03-29 23:10:00,,2020-03-29,15
331,11,7,313,2020-03-28 23:30:00,,2020-03-28,38
293,9,3,281,2020-03-27 23:30:00,,2020-03-27,29
264,8,3,253,2020-03-26 22:40:00,,2020-03-26,22
242,4,3,235,2020-03-25 22:00:00,,2020-03-25,24
218,3,3,212,2020-03-24 22:30:00,,2020-03-24,17
201,3,3,195,2020-03-23 23:40:00,,2020-03-23,14
187,3,3,181,2020-03-22 22:30:00,,2020-03-22,24
163,3,3,157,2020-03-21 23:30:00,,2020-03-21,36
127,1,3,123,2020-03-20 22:45:00,,2020-03-20,20
107,0,3,104,2020-03-19 23:30:00,,2020-03-19,15
92,0,2,90,2020-03-18 23:30:00,,2020-03-18,11
81,0,2,79,2020-03-17 22:30:00,,2020-03-17,19
62,0,2,60,2020-03-16 22:00:00,,2020-03-16,11
51,0,2,49,2020-03-15 23:30:00,,2020-03-15,10
41,0,2,39,2020-03-14 22:30:00,,2020-03-14,10
31,0,1,30,2020-03-13 22:00:00,,2020-03-13,8
23,0,1,22,2020-03-12 22:00:00,,2020-03-12,16
7,0,1,6,2020-03-11 22:30:00,,2020-03-11,1
6,0,0,6,2020-03-10 23:00:00,,2020-03-10,2
4,0,0,4,2020-03-09 22:30:00,,2020-03-09,0
4,0,0,4,2020-03-08 22:00:00,,2020-03-08,2
2,0,0,2,2020-03-07 22:00:00,,2020-03-07,0
