Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
185,176,0,9,2020-04-20 16:35:00,2020-04-20,0
185,176,0,9,2020-04-19 16:30:00,2020-04-19,1
184,173,0,11,2020-04-18 15:07:00,2020-04-18,0
184,171,0,13,2020-04-17 22:01:00,2020-04-17,0
184,169,0,15,2020-04-16 21:38:00,2020-04-16,0
184,166,0,18,2020-04-15 20:35:00,2020-04-15,0
184,163,0,21,2020-04-14 23:37:00,2020-04-14,0
184,157,0,27,2020-04-13 21:50:00,2020-04-13,0
184,157,0,27,2020-04-12 21:08:00,2020-04-12,0
184,145,0,39,2020-04-11 07:00:00,2020-04-11,0
184,145,0,39,2020-04-10 22:00:00,2020-04-10,0
184,136,0,48,2020-04-09 22:00:00,2020-04-09,0
184,131,0,53,2020-04-08 23:00:00,2020-04-08,0
184,120,0,64,2020-04-07 23:00:00,2020-04-07,1
183,107,0,76,2020-04-06 23:00:00,2020-04-06,2
181,99,0,82,2020-04-05 23:00:00,2020-04-05,0
181,93,0,88,2020-04-04 23:50:00,2020-04-04,2
179,91,0,88,2020-04-03 23:30:00,2020-04-03,2
177,81,0,96,2020-04-02 23:30:00,2020-04-02,4
173,75,0,98,2020-04-01 23:00:00,2020-04-01,4
169,74,0,95,2020-03-31 23:30:00,2020-03-31,1
168,70,0,98,2020-03-30 22:30:00,2020-03-30,9
159,70,0,89,2020-03-29 23:10:00,2020-03-29,4
155,54,0,101,2020-03-28 23:30:00,2020-03-28,11
144,54,0,90,2020-03-27 23:30:00,2020-03-27,4
140,47,0,93,2020-03-26 22:40:00,2020-03-26,8
132,38,0,94,2020-03-25 22:00:00,2020-03-25,10
122,33,0,89,2020-03-24 22:30:00,2020-03-24,4
118,23,0,95,2020-03-23 23:40:00,2020-03-23,3
115,3,0,112,2020-03-22 22:30:00,2020-03-22,23
92,3,0,89,2020-03-21 23:30:00,2020-03-21,12
80,3,0,77,2020-03-20 22:45:00,2020-03-20,8
72,1,0,71,2020-03-19 23:30:00,2020-03-19,14
58,1,0,57,2020-03-18 23:30:00,2020-03-18,11
47,0,0,47,2020-03-17 22:30:00,2020-03-17,29
18,0,0,18,2020-03-16 22:00:00,2020-03-16,7
11,0,0,11,2020-03-15 23:30:00,2020-03-15,1
10,0,0,10,2020-03-14 22:30:00,2020-03-14,7
3,0,0,3,2020-03-13 22:00:00,2020-03-13,1
2,0,0,2,2020-03-12 22:00:00,2020-03-12,0
2,0,0,2,2020-03-11 22:30:00,2020-03-11,0
2,0,0,2,2020-03-10 23:00:00,2020-03-10,0
2,0,0,2,2020-03-09 22:30:00,2020-03-09,0
2,0,0,2,2020-03-08 22:00:00,2020-03-08,0
2,0,0,2,2020-03-07 22:00:00,2020-03-07,2
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
