Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
5,1,0,4,2020-04-14 16:11:00,,2020-04-14,0
5,1,0,4,2020-04-13 21:50:00,,2020-04-13,0
5,1,0,4,2020-04-12 21:08:00,,2020-04-12,0
5,1,0,4,2020-04-11 07:00:00,,2020-04-11,0
5,1,0,4,2020-04-10 22:00:00,,2020-04-10,0
5,1,0,4,2020-04-09 22:00:00,,2020-04-09,0
5,1,0,4,2020-04-08 23:00:00,,2020-04-08,3
2,0,0,2,2020-04-07 23:00:00,,2020-04-07,0
2,0,0,2,2020-04-06 23:00:00,,2020-04-06,0
2,0,0,2,2020-04-05 23:00:00,,2020-04-05,1
1,0,0,1,2020-04-04 23:50:00,,2020-04-04,0
1,0,0,1,2020-04-03 23:30:00,,2020-04-03,0
