Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
55,2,0,53,2020-04-20 16:35:00,2020-04-20,0
55,2,0,53,2020-04-19 16:30:00,2020-04-19,0
55,2,0,53,2020-04-18 15:07:00,2020-04-18,0
55,0,0,55,2020-04-17 22:01:00,2020-04-17,0
55,0,0,55,2020-04-16 21:38:00,2020-04-16,0
55,0,0,55,2020-04-15 20:35:00,2020-04-15,0
55,0,0,55,2020-04-14 23:37:00,2020-04-14,2
53,0,0,53,2020-04-13 21:50:00,2020-04-13,2
51,0,0,51,2020-04-12 21:08:00,2020-04-12,0
51,0,0,51,2020-04-11 07:00:00,2020-04-11,0
51,0,0,51,2020-04-10 22:00:00,2020-04-10,0
51,0,0,51,2020-04-09 22:00:00,2020-04-09,0
51,0,0,51,2020-04-08 23:00:00,2020-04-08,4
47,0,0,47,2020-04-07 23:00:00,2020-04-07,5
42,0,0,42,2020-04-06 23:00:00,2020-04-06,1
41,0,0,41,2020-04-05 23:00:00,2020-04-05,1
40,0,0,40,2020-04-04 23:50:00,2020-04-04,1
39,0,0,39,2020-04-03 23:30:00,2020-04-03,2
37,0,0,37,2020-04-02 23:30:00,2020-04-02,0
37,0,0,37,2020-04-01 23:00:00,2020-04-01,0
37,0,0,37,2020-03-31 23:30:00,2020-03-31,1
36,0,0,36,2020-03-30 22:30:00,2020-03-30,6
30,0,0,30,2020-03-29 23:10:00,2020-03-29,0
30,0,0,30,2020-03-28 23:30:00,2020-03-28,0
30,0,0,30,2020-03-27 23:30:00,2020-03-27,0
30,0,0,30,2020-03-26 22:40:00,2020-03-26,5
25,0,0,25,2020-03-25 22:00:00,2020-03-25,0
25,0,0,25,2020-03-24 22:30:00,2020-03-24,7
18,0,0,18,2020-03-23 23:40:00,2020-03-23,0
18,0,0,18,2020-03-22 22:30:00,2020-03-22,3
15,0,0,15,2020-03-21 23:30:00,2020-03-21,4
11,0,0,11,2020-03-20 22:45:00,2020-03-20,5
6,0,0,6,2020-03-19 23:30:00,2020-03-19,0
6,0,0,6,2020-03-18 23:30:00,2020-03-18,3
3,0,0,3,2020-03-17 22:30:00,2020-03-17,0
3,0,0,3,2020-03-16 22:00:00,2020-03-16,0
3,0,0,3,2020-03-15 23:30:00,2020-03-15,0
3,0,0,3,2020-03-14 22:30:00,2020-03-14,0
3,0,0,3,2020-03-13 22:00:00,2020-03-13,2
1,0,0,1,2020-03-12 22:00:00,2020-03-12,0
1,0,0,1,2020-03-11 22:30:00,2020-03-11,1
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
