Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
132,120,0,12,2020-04-20 00:24:00,2020-04-20,0
132,111,0,21,2020-04-19 16:30:00,2020-04-19,0
132,105,0,27,2020-04-18 15:07:00,2020-04-18,0
132,105,0,27,2020-04-17 22:01:00,2020-04-17,1
131,104,0,27,2020-04-16 21:38:00,2020-04-16,2
129,104,0,25,2020-04-15 20:35:00,2020-04-15,0
129,93,0,36,2020-04-14 23:37:00,2020-04-14,0
129,84,0,45,2020-04-13 21:50:00,2020-04-13,0
129,84,0,45,2020-04-12 21:08:00,2020-04-12,2
127,69,0,58,2020-04-11 07:00:00,2020-04-11,0
127,69,0,58,2020-04-10 22:00:00,2020-04-10,4
123,60,0,63,2020-04-09 22:00:00,2020-04-09,3
120,60,0,60,2020-04-08 23:00:00,2020-04-08,7
113,60,0,53,2020-04-07 23:00:00,2020-04-07,4
109,52,0,57,2020-04-06 23:00:00,2020-04-06,6
103,52,0,51,2020-04-05 23:00:00,2020-04-05,5
98,52,0,46,2020-04-04 23:50:00,2020-04-04,3
95,46,0,49,2020-04-03 23:30:00,2020-04-03,7
88,46,0,42,2020-04-02 23:30:00,2020-04-02,7
81,34,0,47,2020-04-01 23:00:00,2020-04-01,12
69,34,0,35,2020-03-31 23:30:00,2020-03-31,0
69,34,0,35,2020-03-30 22:30:00,2020-03-30,4
65,14,0,51,2020-03-29 23:10:00,2020-03-29,9
56,14,0,42,2020-03-28 23:30:00,2020-03-28,1
55,14,0,41,2020-03-27 23:30:00,2020-03-27,20
35,13,0,22,2020-03-26 22:40:00,2020-03-26,9
26,5,0,21,2020-03-25 22:00:00,2020-03-25,11
15,5,0,10,2020-03-24 22:30:00,2020-03-24,0
15,5,0,10,2020-03-23 23:40:00,2020-03-23,0
15,2,0,13,2020-03-22 22:30:00,2020-03-22,5
10,2,0,8,2020-03-21 23:30:00,2020-03-21,0
10,2,0,8,2020-03-20 22:45:00,2020-03-20,0
10,2,0,8,2020-03-19 23:30:00,2020-03-19,2
8,2,0,6,2020-03-18 23:30:00,2020-03-18,5
3,2,0,1,2020-03-17 22:30:00,2020-03-17,0
3,1,0,2,2020-03-16 22:00:00,2020-03-16,2
1,1,0,0,2020-03-15 23:30:00,2020-03-15,0
1,1,0,0,2020-03-14 22:30:00,2020-03-14,0
1,1,0,0,2020-03-13 22:00:00,2020-03-13,0
1,1,0,0,2020-03-12 22:00:00,2020-03-12,0
1,1,0,0,2020-03-11 22:30:00,2020-03-11,0
1,1,0,0,2020-03-10 23:00:00,2020-03-10,0
1,1,0,0,2020-03-09 22:30:00,2020-03-09,0
1,1,0,0,2020-03-08 22:00:00,2020-03-08,0
1,0,0,1,2020-03-07 22:00:00,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,2020-03-06,1
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
