Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
155,19,5,131,2020-04-13 21:50:00,,2020-04-13,2
153,19,3,131,2020-04-12 21:08:00,,2020-04-12,16
137,19,3,115,2020-04-11 07:00:00,,2020-04-11,0
137,19,3,115,2020-04-10 22:00:00,,2020-04-10,11
126,17,3,106,2020-04-09 22:00:00,,2020-04-09,39
87,17,3,67,2020-04-08 23:00:00,,2020-04-08,7
80,17,3,60,2020-04-07 23:00:00,,2020-04-07,10
70,15,3,52,2020-04-06 23:00:00,,2020-04-06,0
70,15,3,52,2020-04-05 23:00:00,,2020-04-05,9
61,15,2,44,2020-04-04 23:50:00,,2020-04-04,11
50,12,1,37,2020-04-03 23:30:00,,2020-04-03,3
47,12,1,34,2020-04-02 23:30:00,,2020-04-02,1
46,12,1,33,2020-04-01 23:00:00,,2020-04-01,8
38,12,1,25,2020-03-31 23:30:00,,2020-03-31,2
36,10,1,25,2020-03-30 22:30:00,,2020-03-30,2
34,10,1,23,2020-03-29 23:10:00,,2020-03-29,0
34,10,1,23,2020-03-28 23:30:00,,2020-03-28,2
32,4,1,27,2020-03-27 23:30:00,,2020-03-27,7
25,4,1,20,2020-03-26 22:40:00,,2020-03-26,1
24,4,1,19,2020-03-25 22:00:00,,2020-03-25,3
21,0,1,20,2020-03-24 22:30:00,,2020-03-24,1
20,0,1,19,2020-03-23 23:40:00,,2020-03-23,1
19,0,1,18,2020-03-22 22:30:00,,2020-03-22,2
17,0,1,16,2020-03-21 23:30:00,,2020-03-21,5
12,0,1,11,2020-03-20 22:45:00,,2020-03-20,3
9,0,1,8,2020-03-19 23:30:00,,2020-03-19,1
8,0,1,7,2020-03-18 23:30:00,,2020-03-18,0
8,0,1,7,2020-03-17 22:30:00,,2020-03-17,0
8,0,1,7,2020-03-16 22:00:00,,2020-03-16,7
1,0,1,0,2020-03-15 23:30:00,,2020-03-15,0
1,0,0,1,2020-03-14 22:30:00,,2020-03-14,0
1,0,0,1,2020-03-13 22:00:00,,2020-03-13,0
