Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
9511,1254,773,7484,2020-04-28 20:02:00,2020-04-28,415
9096,1151,765,7180,2020-04-27 14:50:00,2020-04-27,214
8882,1107,743,7032,2020-04-26 15:29:00,2020-04-26,275
8607,1042,720,6845,2020-04-25 17:01:00,2020-04-25,396
8211,1002,689,6520,2020-04-24 15:23:00,2020-04-24,436
7775,960,647,6168,2020-04-23 16:20:00,2020-04-23,357
7418,913,635,5870,2020-04-22 16:22:00,2020-04-22,283
7135,842,616,5677,2020-04-21 17:14:00,2020-04-21,375
6760,747,590,5423,2020-04-20 16:35:00,2020-04-20,185
6575,686,582,5307,2020-04-19 16:30:00,2020-04-19,327
6248,631,535,5082,2020-04-18 15:07:00,2020-04-18,325
5923,607,520,4796,2020-04-17 22:01:00,2020-04-17,407
5516,548,496,4472,2020-04-16 21:38:00,2020-04-16,380
5136,446,469,4221,2020-04-15 20:35:00,2020-04-15,297
4839,426,459,3954,2020-04-14 23:37:00,2020-04-14,282
4557,380,399,3778,2020-04-13 21:50:00,2020-04-13,316
4241,359,373,3509,2020-04-12 21:08:00,2020-04-12,399
3842,286,327,3229,2020-04-11 07:00:00,2020-04-11,330
3512,282,306,2924,2020-04-10 22:00:00,2020-04-10,219
3293,252,280,2761,2020-04-09 22:00:00,2020-04-09,337
2956,222,240,2494,2020-04-08 23:00:00,2020-04-08,218
2738,204,221,2313,2020-04-07 23:00:00,2020-04-07,247
2491,192,209,2090,2020-04-06 23:00:00,2020-04-06,218
2273,164,198,1911,2020-04-05 23:00:00,2020-04-05,181
2092,150,191,1751,2020-04-04 23:50:00,2020-04-04,106
1986,134,181,1671,2020-04-03 23:30:00,2020-04-03,196
1790,112,170,1508,2020-04-02 23:30:00,2020-04-02,113
1677,103,157,1417,2020-04-01 23:00:00,2020-04-01,149
1528,81,136,1311,2020-03-31 23:30:00,2020-03-31,114
1414,75,122,1217,2020-03-30 22:30:00,2020-03-30,129
1285,64,114,1107,2020-03-29 23:10:00,2020-03-29,130
1155,59,102,994,2020-03-28 23:30:00,2020-03-28,109
1046,46,87,913,2020-03-27 23:30:00,2020-03-27,153
893,35,78,780,2020-03-26 22:40:00,2020-03-26,103
790,31,58,701,2020-03-25 22:00:00,2020-03-25,104
686,30,55,601,2020-03-24 22:30:00,2020-03-24,107
579,30,49,500,2020-03-23 23:40:00,2020-03-23,65
514,29,48,437,2020-03-22 22:30:00,2020-03-22,64
450,20,38,392,2020-03-21 23:30:00,2020-03-21,81
369,17,32,320,2020-03-20 22:45:00,2020-03-20,60
309,15,25,269,2020-03-19 23:30:00,2020-03-19,82
227,11,19,197,2020-03-18 23:30:00,2020-03-18,55
172,9,7,156,2020-03-17 22:30:00,2020-03-17,38
134,8,5,121,2020-03-16 22:00:00,2020-03-16,17
117,8,5,104,2020-03-15 23:30:00,2020-03-15,21
96,8,5,83,2020-03-14 22:30:00,2020-03-14,27
69,5,4,60,2020-03-13 22:00:00,2020-03-13,35
34,3,1,30,2020-03-12 22:00:00,2020-03-12,0
34,2,1,31,2020-03-11 22:30:00,2020-03-11,7
27,2,0,25,2020-03-10 23:00:00,2020-03-10,8
19,0,0,19,2020-03-09 22:30:00,2020-03-09,13
6,0,0,6,2020-03-08 22:00:00,2020-03-08,2
4,0,0,4,2020-03-07 22:00:00,2020-03-07,0
