Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1677,1171,83,423,2020-04-24 01:25:00,2020-04-24,46
1631,1146,83,402,2020-04-23 16:20:00,2020-04-23,29
1602,1096,83,423,2020-04-22 16:22:00,2020-04-22,28
1574,1043,82,449,2020-04-21 17:14:00,2020-04-21,35
1539,1009,82,448,2020-04-20 16:35:00,2020-04-20,26
1513,953,82,478,2020-04-19 16:30:00,2020-04-19,31
1482,906,81,495,2020-04-18 15:07:00,2020-04-18,48
1434,856,80,498,2020-04-17 22:01:00,2020-04-17,0
1434,856,80,498,2020-04-16 21:38:00,2020-04-16,34
1400,766,78,556,2020-04-15 20:35:00,2020-04-15,0
1400,766,78,556,2020-04-14 23:37:00,2020-04-14,22
1378,717,78,583,2020-04-13 21:50:00,2020-04-13,60
1318,601,72,645,2020-04-12 21:08:00,2020-04-12,39
1279,550,70,659,2020-04-11 07:00:00,2020-04-11,0
1279,550,70,659,2020-04-10 22:00:00,2020-04-10,47
1232,496,69,667,2020-04-09 22:00:00,2020-04-09,30
1202,452,69,681,2020-04-08 23:00:00,2020-04-08,80
1122,373,65,684,2020-04-07 23:00:00,2020-04-07,91
1031,344,64,623,2020-04-06 23:00:00,2020-04-06,70
961,279,61,621,2020-04-05 23:00:00,2020-04-05,83
878,259,56,563,2020-04-04 23:50:00,2020-04-04,58
820,226,54,540,2020-04-03 23:30:00,2020-04-03,48
772,202,54,516,2020-04-02 23:30:00,2020-04-02,44
728,182,52,494,2020-04-01 23:00:00,2020-04-01,34
694,170,50,474,2020-03-31 23:30:00,2020-03-31,64
630,152,46,432,2020-03-30 22:30:00,2020-03-30,83
547,143,42,362,2020-03-29 23:10:00,2020-03-29,41
506,131,42,333,2020-03-28 23:30:00,2020-03-28,48
458,122,40,296,2020-03-27 23:30:00,2020-03-27,76
382,105,36,241,2020-03-26 22:40:00,2020-03-26,36
346,103,29,214,2020-03-25 22:00:00,2020-03-25,30
316,75,27,214,2020-03-24 22:30:00,2020-03-24,50
266,62,23,181,2020-03-23 23:40:00,2020-03-23,33
233,57,20,156,2020-03-22 22:30:00,2020-03-22,19
214,51,17,146,2020-03-21 23:30:00,2020-03-21,6
208,49,17,142,2020-03-20 22:45:00,2020-03-20,16
192,49,13,130,2020-03-19 23:30:00,2020-03-19,28
164,43,12,109,2020-03-18 23:30:00,2020-03-18,10
154,41,11,102,2020-03-17 22:30:00,2020-03-17,21
133,32,10,91,2020-03-16 22:00:00,2020-03-16,9
124,26,10,88,2020-03-15 23:30:00,2020-03-15,14
110,26,10,74,2020-03-14 22:30:00,2020-03-14,9
101,24,9,68,2020-03-13 22:00:00,2020-03-13,18
83,24,8,51,2020-03-12 22:00:00,2020-03-12,12
71,15,7,49,2020-03-11 22:30:00,2020-03-11,0
71,15,7,49,2020-03-10 23:00:00,2020-03-10,0
71,3,7,61,2020-03-09 22:30:00,2020-03-09,11
60,1,6,53,2020-03-08 22:00:00,2020-03-08,6
