Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
16671,9233,769,6669,2020-04-23 16:20:00,2020-04-23,631
16040,9233,730,6077,2020-04-22 16:22:00,2020-04-22,388
15652,77,687,14888,2020-04-21 17:14:00,2020-04-21,401
15251,77,610,14564,2020-04-20 16:35:00,2020-04-20,493
14758,77,571,14110,2020-04-19 16:30:00,2020-04-19,778
13980,77,530,13373,2020-04-18 15:07:00,2020-04-18,709
13271,77,486,12708,2020-04-17 22:01:00,2020-04-17,724
12547,77,444,12026,2020-04-16 21:38:00,2020-04-16,1068
11479,77,406,10996,2020-04-15 20:35:00,2020-04-15,0
11479,25,406,11048,2020-04-14 23:37:00,2020-04-14,1824
9655,25,334,9296,2020-04-13 21:50:00,2020-04-13,727
8928,25,320,8583,2020-04-12 21:08:00,2020-04-12,839
8089,25,287,7777,2020-04-11 07:00:00,2020-04-11,0
8089,25,287,7777,2020-04-10 22:00:00,2020-04-10,1515
6574,25,263,6286,2020-04-09 22:00:00,2020-04-09,500
6074,25,235,5814,2020-04-08 23:00:00,2020-04-08,365
5709,25,210,5474,2020-04-07 23:00:00,2020-04-07,345
5364,25,174,5165,2020-04-06 23:00:00,2020-04-06,370
4994,25,158,4811,2020-04-05 23:00:00,2020-04-05,390
4604,25,137,4442,2020-04-04 23:50:00,2020-04-04,331
4273,25,120,4128,2020-04-03 23:30:00,2020-04-03,424
3849,5,98,3746,2020-04-02 23:30:00,2020-04-02,402
3447,5,85,3357,2020-04-01 23:00:00,2020-04-01,212
3235,5,71,3159,2020-03-31 23:30:00,2020-03-31,325
2910,5,54,2851,2020-03-30 22:30:00,2020-03-30,295
2615,5,46,2564,2020-03-29 23:10:00,2020-03-29,200
2415,5,36,2374,2020-03-28 23:30:00,2020-03-28,294
2121,5,22,2094,2020-03-27 23:30:00,2020-03-27,302
1819,5,19,1795,2020-03-26 22:40:00,2020-03-26,255
1564,5,9,1550,2020-03-25 22:00:00,2020-03-25,235
1329,5,7,1317,2020-03-24 22:30:00,2020-03-24,204
1125,5,6,1114,2020-03-23 23:40:00,2020-03-23,219
906,5,4,897,2020-03-22 22:30:00,2020-03-22,121
785,5,3,777,2020-03-21 23:30:00,2020-03-21,102
683,5,3,675,2020-03-20 22:45:00,2020-03-20,126
557,5,3,549,2020-03-19 23:30:00,2020-03-19,191
366,5,2,359,2020-03-18 23:30:00,2020-03-18,74
292,5,2,285,2020-03-17 22:30:00,2020-03-17,69
223,5,2,216,2020-03-16 22:00:00,2020-03-16,53
170,1,2,167,2020-03-15 23:30:00,2020-03-15,41
129,0,2,127,2020-03-14 22:30:00,2020-03-14,39
90,0,1,89,2020-03-13 22:00:00,2020-03-13,20
70,0,1,69,2020-03-12 22:00:00,2020-03-12,27
43,0,1,42,2020-03-11 22:30:00,2020-03-11,9
34,0,0,34,2020-03-10 23:00:00,2020-03-10,10
24,0,0,24,2020-03-09 22:30:00,2020-03-09,3
21,0,0,21,2020-03-08 22:00:00,2020-03-08,2
19,0,0,19,2020-03-07 22:00:00,2020-03-07,1
18,0,0,18,2020-03-06 20:30:00,2020-03-06,5
13,0,0,13,2020-03-05 20:30:00,2020-03-05,7
6,0,0,6,2020-03-04 22:00:00,2020-03-04,4
2,0,0,2,2020-03-03 23:30:00,2020-03-03,1
1,0,0,1,2020-03-02 22:00:00,2020-03-02,0
1,0,0,1,2020-03-01 23:00:00,2020-03-01,0
1,0,0,1,2020-02-29 23:00:00,2020-02-29,1
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
