Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
748,88,5,655,2020-04-21 17:14:00,2020-04-21,9
739,88,5,646,2020-04-20 16:35:00,2020-04-20,12
727,88,5,634,2020-04-19 16:30:00,2020-04-19,15
712,88,5,619,2020-04-18 15:07:00,2020-04-18,30
682,88,5,589,2020-04-17 22:01:00,2020-04-17,7
675,57,5,613,2020-04-16 21:38:00,2020-04-16,9
666,44,5,617,2020-04-15 20:35:00,2020-04-15,9
657,16,5,636,2020-04-14 23:37:00,2020-04-14,2
655,16,5,634,2020-04-13 21:50:00,2020-04-13,4
651,16,5,630,2020-04-12 21:08:00,2020-04-12,21
630,16,3,611,2020-04-11 07:00:00,2020-04-11,18
612,16,3,593,2020-04-10 22:00:00,2020-04-10,23
589,16,3,570,2020-04-09 22:00:00,2020-04-09,12
577,16,2,559,2020-04-08 23:00:00,2020-04-08,29
548,16,2,530,2020-04-07 23:00:00,2020-04-07,6
542,16,1,525,2020-04-06 23:00:00,2020-04-06,9
533,1,1,531,2020-04-05 23:00:00,2020-04-05,24
509,1,1,507,2020-04-04 23:50:00,2020-04-04,16
493,1,1,491,2020-04-03 23:30:00,2020-04-03,35
458,31,0,427,2020-04-02 23:30:00,2020-04-02,12
446,1,0,445,2020-04-01 23:00:00,2020-04-01,48
398,1,0,397,2020-03-31 23:30:00,2020-03-31,22
376,1,0,375,2020-03-30 22:30:00,2020-03-30,29
347,1,0,346,2020-03-29 23:10:00,2020-03-29,42
305,1,0,304,2020-03-28 23:30:00,2020-03-28,25
280,1,0,279,2020-03-27 23:30:00,2020-03-27,36
244,1,0,243,2020-03-26 22:40:00,2020-03-26,23
221,1,0,220,2020-03-25 22:00:00,2020-03-25,24
197,1,0,196,2020-03-24 22:30:00,2020-03-24,17
180,1,0,179,2020-03-23 23:40:00,2020-03-23,41
139,1,0,138,2020-03-22 22:30:00,2020-03-22,15
124,1,0,123,2020-03-21 23:30:00,2020-03-21,13
111,1,0,110,2020-03-20 22:45:00,2020-03-20,25
86,1,0,85,2020-03-19 23:30:00,2020-03-19,15
71,1,0,70,2020-03-18 23:30:00,2020-03-18,11
60,1,0,59,2020-03-17 22:30:00,2020-03-17,26
34,1,0,33,2020-03-16 22:00:00,2020-03-16,4
30,1,0,29,2020-03-15 23:30:00,2020-03-15,4
26,1,0,25,2020-03-14 22:30:00,2020-03-14,9
17,1,0,16,2020-03-13 22:00:00,2020-03-13,1
16,1,0,15,2020-03-12 22:00:00,2020-03-12,6
10,1,0,9,2020-03-11 22:30:00,2020-03-11,2
8,1,0,7,2020-03-10 23:00:00,2020-03-10,2
6,1,0,5,2020-03-09 22:30:00,2020-03-09,3
3,1,0,2,2020-03-08 22:00:00,2020-03-08,2
1,1,0,0,2020-03-07 22:00:00,2020-03-07,0
1,1,0,0,2020-03-06 20:30:00,2020-03-06,0
1,0,0,1,2020-03-05 20:30:00,2020-03-05,0
1,0,0,1,2020-03-04 22:00:00,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,2020-03-02,1
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
