Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
3373,526,69,2778,2020-04-16 21:38:00,,2020-04-16,66
3307,500,67,2740,2020-04-15 20:35:00,,2020-04-15,15
3292,500,69,2723,2020-04-14 23:37:00,,2020-04-14,0
3292,500,69,2723,2020-04-13 21:50:00,,2020-04-13,22
3270,500,62,2708,2020-04-12 21:08:00,,2020-04-12,47
3223,500,54,2669,2020-04-11 07:00:00,,2020-04-11,0
3223,500,54,2669,2020-04-10 22:00:00,,2020-04-10,108
3115,500,52,2563,2020-04-09 22:00:00,,2020-04-09,81
3034,500,46,2488,2020-04-08 23:00:00,,2020-04-08,64
2970,500,44,2426,2020-04-07 23:00:00,,2020-04-07,127
2843,500,41,2302,2020-04-06 23:00:00,,2020-04-06,39
2804,500,36,2268,2020-04-05 23:00:00,,2020-04-05,75
2729,500,31,2198,2020-04-04 23:50:00,,2020-04-04,117
2612,500,31,2081,2020-04-03 23:30:00,,2020-04-03,125
2487,80,30,2377,2020-04-02 23:30:00,,2020-04-02,168
2319,80,29,2210,2020-04-01 23:00:00,,2020-04-01,141
2178,80,23,2075,2020-03-31 23:30:00,,2020-03-31,190
1988,40,22,1926,2020-03-30 22:30:00,,2020-03-30,38
1950,40,21,1889,2020-03-29 23:10:00,,2020-03-29,119
1831,40,18,1773,2020-03-28 23:30:00,,2020-03-28,226
1605,40,15,1550,2020-03-27 23:30:00,,2020-03-27,152
1453,6,9,1438,2020-03-26 22:40:00,,2020-03-26,120
1333,6,8,1319,2020-03-25 22:00:00,,2020-03-25,234
1099,6,8,1085,2020-03-24 22:30:00,,2020-03-24,224
875,6,8,861,2020-03-23 23:40:00,,2020-03-23,77
798,6,8,784,2020-03-22 22:30:00,,2020-03-22,128
670,6,8,656,2020-03-21 23:30:00,,2020-03-21,186
484,6,5,473,2020-03-20 22:45:00,,2020-03-20,149
335,6,4,325,2020-03-19 23:30:00,,2020-03-19,132
203,0,2,201,2020-03-18 23:30:00,,2020-03-18,63
140,0,1,139,2020-03-17 22:30:00,,2020-03-17,59
81,0,1,80,2020-03-16 22:00:00,,2020-03-16,4
77,0,1,76,2020-03-15 23:30:00,,2020-03-15,26
51,0,1,50,2020-03-14 22:30:00,,2020-03-14,13
38,0,1,37,2020-03-13 22:00:00,,2020-03-13,12
26,0,0,26,2020-03-12 22:00:00,,2020-03-12,19
7,0,0,7,2020-03-11 22:30:00,,2020-03-11,0
7,0,0,7,2020-03-10 23:00:00,,2020-03-10,2
5,0,0,5,2020-03-09 22:30:00,,2020-03-09,0
5,0,0,5,2020-03-08 22:00:00,,2020-03-08,2
3,0,0,3,2020-03-07 22:00:00,,2020-03-07,0
3,0,0,3,2020-03-06 20:30:00,,2020-03-06,1
2,0,0,2,2020-03-05 20:30:00,,2020-03-05,1
1,0,0,1,2020-03-04 22:00:00,,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,,2020-03-02,0
1,0,0,1,2020-03-01 23:00:00,,2020-03-01,0
1,0,0,1,2020-02-29 23:00:00,,2020-02-29,0
