Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
354,144,4,206,2020-04-25 17:01:00,2020-04-25,28
326,125,4,197,2020-04-24 15:23:00,2020-04-24,0
326,125,4,197,2020-04-23 16:20:00,2020-04-23,15
311,117,4,190,2020-04-22 16:22:00,2020-04-22,27
284,117,4,163,2020-04-21 17:14:00,2020-04-21,13
271,117,4,150,2020-04-20 16:35:00,2020-04-20,17
254,117,4,133,2020-04-19 16:30:00,2020-04-19,9
245,117,4,124,2020-04-18 15:07:00,2020-04-18,0
245,117,4,124,2020-04-17 22:01:00,2020-04-17,12
233,69,3,161,2020-04-16 21:38:00,2020-04-16,16
217,69,3,145,2020-04-15 20:35:00,2020-04-15,0
217,69,3,145,2020-04-14 23:37:00,2020-04-14,10
207,59,3,145,2020-04-13 21:50:00,2020-04-13,11
196,59,3,134,2020-04-12 21:08:00,2020-04-12,5
191,50,2,139,2020-04-11 07:00:00,2020-04-11,0
191,50,2,139,2020-04-10 22:00:00,2020-04-10,7
184,26,2,156,2020-04-09 22:00:00,2020-04-09,0
184,22,2,160,2020-04-08 23:00:00,2020-04-08,13
171,22,2,147,2020-04-07 23:00:00,2020-04-07,7
164,15,2,147,2020-04-06 23:00:00,2020-04-06,17
147,14,2,131,2020-04-05 23:00:00,2020-04-05,13
134,14,2,118,2020-04-04 23:50:00,2020-04-04,6
128,10,2,116,2020-04-03 23:30:00,2020-04-03,12
116,10,1,105,2020-04-02 23:30:00,2020-04-02,15
101,10,1,90,2020-04-01 23:00:00,2020-04-01,7
94,10,1,83,2020-03-31 23:30:00,2020-03-31,12
82,10,0,72,2020-03-30 22:30:00,2020-03-30,19
63,0,0,63,2020-03-29 23:10:00,2020-03-29,0
63,0,0,63,2020-03-28 23:30:00,2020-03-28,13
50,0,0,50,2020-03-27 23:30:00,2020-03-27,14
36,0,0,36,2020-03-26 22:40:00,2020-03-26,0
36,0,0,36,2020-03-25 22:00:00,2020-03-25,0
36,0,0,36,2020-03-24 22:30:00,2020-03-24,12
24,0,0,24,2020-03-23 23:40:00,2020-03-23,13
11,0,0,11,2020-03-22 22:30:00,2020-03-22,0
11,0,0,11,2020-03-21 23:30:00,2020-03-21,4
7,0,0,7,2020-03-20 22:45:00,2020-03-20,3
4,0,0,4,2020-03-19 23:30:00,2020-03-19,1
3,0,0,3,2020-03-18 23:30:00,2020-03-18,0
3,0,0,3,2020-03-17 22:30:00,2020-03-17,2
1,0,0,1,2020-03-16 22:00:00,2020-03-16,0
1,0,0,1,2020-03-15 23:30:00,2020-03-15,0
1,0,0,1,2020-03-14 22:30:00,2020-03-14,1
0,0,0,0,2020-03-13 22:00:00,2020-03-13,0
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
