Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
1386,728,9,649,2020-04-16 02:00:00,,2020-04-16,0
1386,728,9,649,2020-04-15 20:35:00,,2020-04-15,20
1366,628,9,729,2020-04-14 23:37:00,,2020-04-14,17
1349,546,5,798,2020-04-13 21:50:00,,2020-04-13,19
1330,471,4,855,2020-04-12 21:08:00,,2020-04-12,18
1312,422,4,886,2020-04-11 07:00:00,,2020-04-11,0
1312,422,4,886,2020-04-10 22:00:00,,2020-04-10,29
1283,373,2,908,2020-04-09 22:00:00,,2020-04-09,44
1239,317,1,921,2020-04-08 23:00:00,,2020-04-08,29
1210,282,1,927,2020-04-07 23:00:00,,2020-04-07,50
1160,241,1,918,2020-04-06 23:00:00,,2020-04-06,54
1106,176,1,929,2020-04-05 23:00:00,,2020-04-05,67
1039,156,1,882,2020-04-04 23:50:00,,2020-04-04,89
950,127,1,822,2020-04-03 23:30:00,,2020-04-03,82
868,103,1,764,2020-04-02 23:30:00,,2020-04-02,71
797,92,1,704,2020-04-01 23:00:00,,2020-04-01,89
708,83,1,624,2020-03-31 23:30:00,,2020-03-31,61
647,74,1,572,2020-03-30 22:30:00,,2020-03-30,133
514,63,1,450,2020-03-29 23:10:00,,2020-03-29,0
514,56,1,457,2020-03-28 23:30:00,,2020-03-28,63
451,50,0,401,2020-03-27 23:30:00,,2020-03-27,83
368,37,0,331,2020-03-26 22:40:00,,2020-03-26,85
283,27,0,256,2020-03-25 22:00:00,,2020-03-25,78
205,22,0,183,2020-03-24 22:30:00,,2020-03-24,50
155,12,0,143,2020-03-23 23:40:00,,2020-03-23,53
102,0,0,102,2020-03-22 22:30:00,,2020-03-22,36
66,0,0,66,2020-03-21 23:30:00,,2020-03-21,14
52,0,0,52,2020-03-20 22:45:00,,2020-03-20,13
39,0,0,39,2020-03-19 23:30:00,,2020-03-19,11
28,0,0,28,2020-03-18 23:30:00,,2020-03-18,8
20,0,0,20,2020-03-17 22:30:00,,2020-03-17,9
11,0,0,11,2020-03-16 22:00:00,,2020-03-16,3
8,0,0,8,2020-03-15 23:30:00,,2020-03-15,0
8,0,0,8,2020-03-14 22:30:00,,2020-03-14,2
6,0,0,6,2020-03-13 22:00:00,,2020-03-13,1
5,0,0,5,2020-03-12 22:00:00,,2020-03-12,0
5,0,0,5,2020-03-11 22:30:00,,2020-03-11,0
5,0,0,5,2020-03-10 23:00:00,,2020-03-10,0
5,0,0,5,2020-03-09 22:30:00,,2020-03-09,0
5,0,0,5,2020-03-08 22:00:00,,2020-03-08,0
5,0,0,5,2020-03-07 22:00:00,,2020-03-07,0
5,0,0,5,2020-03-06 20:30:00,,2020-03-06,1
4,0,0,4,2020-03-05 20:30:00,,2020-03-05,1
3,0,0,3,2020-03-04 22:00:00,,2020-03-04,1
2,0,0,2,2020-03-03 23:30:00,,2020-03-03,1
1,0,0,1,2020-03-02 22:00:00,,2020-03-02,0
1,0,0,1,2020-03-01 23:00:00,,2020-03-01,0
1,0,0,1,2020-02-29 23:00:00,,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,,2020-02-28,0
