Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
548,86,13,449,2020-04-14 23:37:00,,2020-04-14,19
529,75,12,442,2020-04-13 21:50:00,,2020-04-13,38
491,41,11,439,2020-04-12 21:08:00,,2020-04-12,53
438,41,11,386,2020-04-11 07:00:00,,2020-04-11,0
438,41,11,386,2020-04-10 22:00:00,,2020-04-10,28
410,40,11,359,2020-04-09 22:00:00,,2020-04-09,68
342,28,11,303,2020-04-08 23:00:00,,2020-04-08,64
278,26,11,241,2020-04-07 23:00:00,,2020-04-07,25
253,26,10,217,2020-04-06 23:00:00,,2020-04-06,69
184,13,10,161,2020-04-05 23:00:00,,2020-04-05,40
144,0,8,136,2020-04-04 23:50:00,,2020-04-04,24
120,0,5,115,2020-04-03 23:30:00,,2020-04-03,22
98,0,5,93,2020-04-02 23:30:00,,2020-04-02,24
74,0,5,69,2020-04-01 23:00:00,,2020-04-01,40
34,0,3,31,2020-03-31 23:30:00,,2020-03-31,7
27,0,3,24,2020-03-30 22:30:00,,2020-03-30,9
18,0,1,17,2020-03-29 23:10:00,,2020-03-29,8
10,0,1,9,2020-03-28 23:30:00,,2020-03-28,0
10,0,1,9,2020-03-27 23:30:00,,2020-03-27,0
10,0,1,9,2020-03-26 22:40:00,,2020-03-26,3
7,0,1,6,2020-03-25 22:00:00,,2020-03-25,4
3,0,0,3,2020-03-24 22:30:00,,2020-03-24,0
3,0,0,3,2020-03-23 23:40:00,,2020-03-23,1
2,0,0,2,2020-03-22 22:30:00,,2020-03-22,1
1,0,0,1,2020-03-21 23:30:00,,2020-03-21,0
1,0,0,1,2020-03-20 22:45:00,,2020-03-20,0
1,0,0,1,2020-03-19 23:30:00,,2020-03-19,0
