Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
6740,32,150,6558,2020-04-16 02:00:00,,2020-04-16,0
6740,32,145,6563,2020-04-15 20:35:00,,2020-04-15,117
6623,32,139,6452,2020-04-14 23:37:00,,2020-04-14,76
6547,32,133,6382,2020-04-13 21:50:00,,2020-04-13,138
6409,32,119,6258,2020-04-12 21:08:00,,2020-04-12,49
6360,32,113,6215,2020-04-11 07:00:00,,2020-04-11,46
6314,32,113,6169,2020-04-10 22:00:00,,2020-04-10,95
6219,32,108,6079,2020-04-09 22:00:00,,2020-04-09,177
6042,32,101,5909,2020-04-08 23:00:00,,2020-04-08,-44
6086,32,89,5965,2020-04-07 23:00:00,,2020-04-07,221
5865,32,76,5757,2020-04-06 23:00:00,,2020-04-06,178
5687,32,71,5584,2020-04-05 23:00:00,,2020-04-05,137
5550,32,62,5456,2020-04-04 23:50:00,,2020-04-04,180
5370,32,59,5279,2020-04-03 23:30:00,,2020-04-03,152
5218,32,50,5136,2020-04-02 23:30:00,,2020-04-02,341
4877,13,44,4820,2020-04-01 23:00:00,,2020-04-01,236
4641,13,39,4589,2020-03-31 23:30:00,,2020-03-31,179
4462,12,32,4418,2020-03-30 22:30:00,,2020-03-30,178
4284,7,26,4251,2020-03-29 23:10:00,,2020-03-29,252
4032,7,23,4002,2020-03-28 23:30:00,,2020-03-28,261
3771,7,19,3745,2020-03-27 23:30:00,,2020-03-27,399
3372,6,14,3352,2020-03-26 22:40:00,,2020-03-26,288
3084,6,14,3064,2020-03-25 22:00:00,,2020-03-25,218
2866,6,12,2848,2020-03-24 22:30:00,,2020-03-24,241
2625,6,10,2609,2020-03-23 23:40:00,,2020-03-23,240
2385,6,7,2372,2020-03-22 22:30:00,,2020-03-22,221
2164,6,7,2151,2020-03-21 23:30:00,,2020-03-21,205
1959,1,7,1951,2020-03-20 22:45:00,,2020-03-20,169
1790,1,7,1782,2020-03-19 23:30:00,,2020-03-19,199
1591,1,6,1584,2020-03-18 23:30:00,,2020-03-18,120
1471,1,3,1467,2020-03-17 22:30:00,,2020-03-17,123
1348,1,3,1344,2020-03-16 22:00:00,,2020-03-16,92
1256,1,3,1252,2020-03-15 23:30:00,,2020-03-15,147
1109,1,3,1105,2020-03-14 22:30:00,,2020-03-14,113
996,1,1,994,2020-03-13 22:00:00,,2020-03-13,196
800,1,1,798,2020-03-12 22:00:00,,2020-03-12,171
629,1,0,628,2020-03-11 22:30:00,,2020-03-11,229
400,1,0,399,2020-03-10 23:00:00,,2020-03-10,173
227,1,0,226,2020-03-09 22:30:00,,2020-03-09,51
176,1,0,175,2020-03-08 22:00:00,,2020-03-08,20
156,1,0,155,2020-03-07 22:00:00,,2020-03-07,29
127,1,0,126,2020-03-06 20:30:00,,2020-03-06,36
91,0,0,91,2020-03-05 20:30:00,,2020-03-05,32
59,0,0,59,2020-03-04 22:00:00,,2020-03-04,26
33,0,0,33,2020-03-03 23:30:00,,2020-03-03,8
25,0,0,25,2020-03-02 22:00:00,,2020-03-02,6
19,0,0,19,2020-03-01 23:00:00,,2020-03-01,4
15,0,0,15,2020-02-29 23:00:00,,2020-02-29,9
6,0,0,6,2020-02-28 23:00:00,,2020-02-28,2
4,0,0,4,2020-02-27 22:00:00,,2020-02-27,3
1,0,0,1,2020-02-26 23:30:00,,2020-02-26,0
