Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
20863,610,735,19518,2020-04-21 17:14:00,2020-04-21,657
20206,610,714,18882,2020-04-20 16:35:00,2020-04-20,521
19685,610,687,18388,2020-04-19 16:30:00,2020-04-19,663
19022,519,657,17846,2020-04-18 15:07:00,2020-04-18,0
19022,519,657,17846,2020-04-17 22:01:00,2020-04-17,181
18841,493,629,17719,2020-04-16 21:38:00,2020-04-16,750
18091,383,599,17109,2020-04-15 20:35:00,2020-04-15,643
17448,347,567,16534,2020-04-14 23:37:00,2020-04-14,514
16934,277,535,16122,2020-04-13 21:50:00,2020-04-13,947
15987,266,470,15251,2020-04-12 21:08:00,2020-04-12,515
15472,233,435,14804,2020-04-11 07:00:00,2020-04-11,0
15472,233,435,14804,2020-04-10 22:00:00,2020-04-10,1516
13956,205,409,13342,2020-04-09 22:00:00,2020-04-09,815
13141,196,380,12565,2020-04-08 23:00:00,2020-04-08,699
12442,184,345,11913,2020-04-07 23:00:00,2020-04-07,712
11730,140,311,11279,2020-04-06 23:00:00,2020-04-06,452
11278,75,295,10908,2020-04-05 23:00:00,2020-04-05,754
10524,75,266,10183,2020-04-04 23:50:00,2020-04-04,638
9886,68,246,9572,2020-04-03 23:30:00,2020-04-03,852
9034,68,209,8757,2020-04-02 23:30:00,2020-04-02,783
8251,43,187,8021,2020-04-01 23:00:00,2020-04-01,808
7443,43,160,7240,2020-03-31 23:30:00,2020-03-31,1035
6408,43,140,6225,2020-03-30 22:30:00,2020-03-30,446
5962,43,119,5800,2020-03-29 23:10:00,2020-03-29,792
5170,43,100,5027,2020-03-28 23:30:00,2020-03-28,902
4268,43,76,4149,2020-03-27 23:30:00,2020-03-27,724
3544,43,60,3441,2020-03-26 22:40:00,2020-03-26,549
2995,22,43,2930,2020-03-25 22:00:00,2020-03-25,633
2362,22,33,2307,2020-03-24 22:30:00,2020-03-24,302
2060,14,23,2023,2020-03-23 23:40:00,2020-03-23,460
1600,5,14,1581,2020-03-22 22:30:00,2020-03-22,320
1280,5,12,1263,2020-03-21 23:30:00,2020-03-21,260
1020,5,6,1009,2020-03-20 22:45:00,2020-03-20,234
786,4,4,778,2020-03-19 23:30:00,2020-03-19,144
642,4,2,636,2020-03-18 23:30:00,2020-03-18,194
448,3,1,444,2020-03-17 22:30:00,2020-03-17,117
331,3,1,327,2020-03-16 22:00:00,2020-03-16,86
245,3,0,242,2020-03-15 23:30:00,2020-03-15,76
169,2,0,167,2020-03-14 22:30:00,2020-03-14,57
112,1,0,111,2020-03-13 22:00:00,2020-03-13,34
78,1,0,77,2020-03-12 22:00:00,2020-03-12,17
61,0,0,61,2020-03-11 22:30:00,2020-03-11,20
41,0,0,41,2020-03-10 23:00:00,2020-03-10,2
39,0,0,39,2020-03-09 22:30:00,2020-03-09,9
30,0,0,30,2020-03-08 22:00:00,2020-03-08,9
21,0,0,21,2020-03-07 22:00:00,2020-03-07,8
13,0,0,13,2020-03-06 20:30:00,2020-03-06,4
9,0,0,9,2020-03-05 20:30:00,2020-03-05,3
6,0,0,6,2020-03-04 22:00:00,2020-03-04,2
4,0,0,4,2020-03-03 23:30:00,2020-03-03,2
2,0,0,2,2020-03-02 22:00:00,2020-03-02,2
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
